换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
0.84%,6441.16万,0.99%,3053手,2375手,1.78,601.13万,23.20亿,-8.48%,"
                        9.97",11.08,横河模具,11.02,6.22,11.13,11.13,2.09亿,7.15亿,12.19,64.84,5429手,0.13,0.06
0.98%,1400.00万,0.88%,767手,598手,6.92,495.35万,20.46亿,8.82%,"
                        32.62",36.24,同益股份,36.10,5.24,36.42,36.22,5647.69万,5.07亿,39.86,141.45,1365手,0.19,0.05
0.85%,6916.26万,1.47%,3336手,2526手,6.29,915.25万,30.11亿,28.52%,"
                        14.08",15.65,广信材料,15.50,2.48,15.73,15.57,1.93亿,10.79亿,17.22,47.80,5862手,0.24,--
24.81%,6108.36万,8.65%,7.55万手,7.61万手,3.10,3.18亿,34.93亿,55.92%,"
                        18.32",20.35,农尚环境,20.09,6.73,21.85,20.11,1.68亿,12.73亿,22.39,64.13,15.15万手,0.24,1.43
1.77%,3172.46万,1.60%,2797手,2809手,10.93,2082.69万,22.28亿,11.85%,"
                        33.26",36.95,达威股份,36.81,3.41,37.40,37.07,5974.00万,11.83亿,40.65,39.84,5606手,0.70,0.31
2.17%,1.89亿,2.24%,1.74万手,2.36万手,2.33,4249.72万,31.43亿,-24.48%,"
                        9.23",10.26,陇神戎发,10.25,4.44,10.48,10.25,3.03亿,19.59亿,11.29,182.81,4.10万手,0.04,0.88
1.51%,3586.89万,1.99%,3446手,1968手,14.85,2770.13万,50.78亿,-8.77%,"
                        46.21",51.34,冰川网络,50.78,3.42,51.80,51.31,10000.00万,18.21亿,56.47,56.98,5415手,0.67,0.29
5.49%,6589.42万,5.89%,1.64万手,1.98万手,4.85,8978.77万,38.35亿,19.80%,"
                        21.40",23.78,今天国际,24.02,5.14,25.42,24.30,1.54亿,16.41亿,26.16,45.84,3.62万手,0.41,0.89
1.68%,1.22亿,3.00%,1.01万手,1.04万手,2.10,3301.71万,44.63亿,38.22%,"
                        14.40",16.00,优博讯,15.92,7.58,16.40,16.00,2.80亿,19.45亿,17.60,82.28,2.04万手,0.15,0.43
0.74%,2107.42万,0.79%,602手,947手,6.86,568.22万,25.75亿,-45.98%,"
                        32.99",36.65,达志科技,36.50,5.36,36.79,36.57,7000.00万,7.75亿,40.32,44.06,1549手,0.63,0.06
0.90%,1.06亿,2.06%,4789手,4751手,3.14,3069.36万,133.10亿,83.35%,"
                        29.20",32.45,健帆生物,31.95,10.18,32.62,32.45,4.17亿,33.78亿,35.70,49.07,9541手,0.49,0.27
1.81%,1.52亿,1.59%,1.34万手,1.40万手,5.05,3635.80万,49.37亿,-15.99%,"
                        11.88",13.20,幸福蓝海,13.11,2.62,13.32,13.11,3.73亿,20.12亿,14.52,53.75,2.74万手,0.18,0.21
0.53%,1.43亿,1.37%,4318手,3237手,3.91,1825.01万,116.94亿,-19.34%,"
                        21.68",24.09,华舟应急,23.95,6.16,24.28,24.00,4.86亿,34.51亿,26.50,67.86,7556手,0.27,0.08
3.43%,5981.48万,2.25%,1.26万手,7900手,3.03,3866.27万,32.44亿,55.11%,"
                        17.19",19.10,中潜股份,18.66,6.25,19.09,18.80,1.71亿,11.32亿,21.01,73.28,2.05万手,0.20,0.34
0.46%,4213.85万,1.10%,1323手,621手,6.04,815.97万,30.20亿,13.23%,"
                        37.51",41.68,博思软件,41.79,6.95,42.25,42.10,7203.20万,17.66亿,45.85,181.01,1945手,0.17,0.12
--,1.02亿,--,--,--,5.42,--,68.11亿,--,"
                        42.57",47.30,辰安科技,--,8.72,--,--,1.44亿,48.04亿,52.03,3170.86,--,0.01,--
1.57%,5207.72万,2.38%,3840手,4337手,4.86,1723.09万,25.29亿,-18.73%,"
                        18.95",21.05,世名科技,20.88,4.34,21.38,21.05,1.20亿,10.97亿,23.15,39.78,8178手,0.40,0.25
1.93%,9486.34万,3.26%,1.22万手,6101手,3.38,3095.91万,24.13亿,61.80%,"
                        15.47",17.19,爱司凯,16.68,4.96,17.24,17.14,1.44亿,15.90亿,18.91,62.39,1.83万手,0.20,0.94
3.36%,1.13亿,2.49%,1.96万手,1.82万手,2.54,1.04亿,55.26亿,66.58%,"
                        24.58",27.31,科大国创,27.10,10.76,27.78,27.27,2.02亿,30.75亿,30.04,--,3.78万手,-0.04,1.05
0.98%,9880.00万,3.18%,5451手,4269手,4.22,1935.66万,31.78亿,25.63%,"
                        17.84",19.82,新光药业,19.58,4.71,20.21,19.81,1.60亿,19.62亿,21.80,31.73,9720手,0.47,0.95
0.54%,4678.72万,1.04%,1385手,1119手,11.62,1299.36万,48.32亿,35.91%,"
                        46.90",52.11,盛讯达,51.68,4.46,52.22,52.00,9334.00万,24.22亿,57.32,70.51,2505手,0.55,0.18
0.88%,4091.88万,1.12%,2037手,1557手,5.90,702.42万,19.99亿,-16.18%,"
                        17.61",19.57,海波重科,19.46,3.31,19.68,19.48,1.02亿,7.99亿,21.53,69.81,3595手,0.21,0.15
0.70%,4710.00万,1.82%,1573手,1730手,9.59,1489.47万,54.28亿,-32.76%,"
                        40.49",44.99,久之洋,44.60,4.72,45.42,45.12,1.20亿,21.30亿,49.49,146.38,3303手,0.23,0.21
3.72%,9120.75万,3.81%,1.81万手,1.58万手,2.24,4165.46万,24.68亿,17.78%,"
                        11.33",12.59,三德科技,12.13,5.50,12.61,12.58,2.00亿,11.26亿,13.85,90.20,3.39万手,0.10,1.31
5.76%,2500.00万,3.36%,9372手,5016手,4.62,3985.41万,27.26亿,-16.20%,"
                        25.21",28.01,友讯达,27.25,5.91,28.19,28.00,10000.00万,6.82亿,30.81,43.24,1.44万手,0.47,--
0.24%,6095.02万,0.77%,837手,624手,4.42,495.89万,41.38亿,19.24%,"
                        30.51",33.90,恒泰实达,33.80,7.68,34.06,33.80,1.22亿,20.70亿,37.29,544.38,1462手,0.05,0.10
1.27%,7782.49万,2.06%,6747手,3168手,5.03,1768.80万,48.06亿,31.12%,"
                        16.19",17.99,中亚股份,17.70,3.54,18.07,18.07,2.70亿,13.85亿,19.79,25.77,9916手,0.52,0.08
1.04%,9969.33万,2.33%,5106手,5285手,5.88,2475.51万,54.85亿,-26.26%,"
                        21.26",23.62,雪榕生物,23.47,4.08,24.02,23.57,2.29亿,23.93亿,25.98,49.93,1.04万手,0.36,0.38
1.26%,7405.82万,1.83%,5318手,3994手,10.00,2472.72万,60.08亿,17.36%,"
                        24.11",26.79,金冠电气,26.40,2.65,26.89,26.73,2.26亿,19.66亿,29.47,62.65,9313手,0.32,0.17
3.16%,2630.00万,1.65%,4548手,3752手,7.22,2169.57万,20.92亿,19.40%,"
                        23.44",26.05,新美星,25.92,3.62,26.35,26.04,8000.00万,6.88亿,28.66,44.96,8300手,0.44,0.35
2.89%,1479.03万,2.07%,2488手,1780手,8.79,3122.44万,41.40亿,-50.00%,"
                        65.30",72.55,维宏股份,72.38,8.29,73.88,73.10,5682.00万,10.78亿,79.81,44.89,4268手,1.22,0.22
1.27%,5896.44万,1.91%,4951手,2561手,7.00,2040.23万,32.56亿,17.71%,"
                        24.55",27.28,苏奥传感,26.97,3.88,27.49,27.26,1.20亿,16.00亿,30.01,33.36,7513手,0.61,0.33
2.39%,1.32亿,3.69%,1.61万手,1.55万手,2.26,7333.96万,69.06亿,16.54%,"
                        20.71",23.01,名家汇,22.80,10.18,23.65,23.02,3.00亿,30.36亿,25.31,44.07,3.16万手,0.39,0.09
