换手率,流通股本,振幅,内盘,外盘,每股净资产,成交额,总市值,委比,跌停,昨收,股票名,最低,市净率,最高,今开,总股本,流通市值,涨停,市盈率,成交量,每股收益,量比
0.69%,2.61亿,1.55%,9729手,8152手,4.54,2668.80万,39.39亿,-11.85%,"
                        13.37",14.85,鼎捷软件,14.81,3.28,15.04,14.85,2.65亿,38.83亿,16.34,56.06,1.79万手,0.20,0.67
7.25%,5.10亿,7.04%,17.96万手,19.01万手,3.47,4.80亿,93.91亿,-10.50%,"
                        11.12",12.36,赢时胜,12.61,3.64,13.48,13.06,7.42亿,64.48亿,13.60,84.40,36.97万手,0.11,5.94
0.72%,22.98亿,2.42%,7.53万手,9.05万手,1.78,1.25亿,176.07亿,-22.59%,"
                        6.70",7.45,易事特,7.45,4.24,7.63,7.46,23.29亿,173.75亿,8.20,25.18,16.58万手,0.23,7.27
5.14%,1.34亿,2.44%,3.25万手,3.63万手,7.12,1.30亿,38.32亿,61.70%,"
                        16.99",18.88,鹏翎股份,18.62,2.67,19.08,18.80,2.02亿,25.45亿,20.77,33.04,6.88万手,0.47,2.53
3.33%,1.69亿,4.43%,2.96万手,2.64万手,4.34,9432.49万,41.39亿,-44.22%,"
                        15.24",16.93,恒通科技,16.53,3.88,17.28,16.55,2.46亿,28.38亿,18.62,69.65,5.61万手,0.23,1.97
3.15%,2.33亿,3.56%,4.45万手,2.89万手,4.61,2.11亿,134.85亿,75.65%,"
                        26.54",29.49,扬杰科技,28.35,6.19,29.40,29.25,4.72亿,66.44亿,32.44,49.48,7.34万手,0.43,2.24
5.53%,9873.09万,6.49%,2.68万手,2.78万手,3.05,827.92万,2.54亿,-4.37%,"
                        1.39",1.54,欣泰退,1.46,0.49,1.56,1.55,1.72亿,1.46亿,1.69,--,5.46万手,-0.04,0.40
2.84%,5609.95万,3.51%,9743手,6186手,4.76,3155.41万,23.59亿,49.81%,"
                        18.21",20.23,汇中股份,19.58,4.13,20.29,19.96,1.20亿,11.03亿,22.25,51.31,1.59万手,0.29,1.44
1.27%,6.69亿,3.32%,4.24万手,4.26万手,1.34,3326.29万,37.39亿,-9.37%,"
                        3.52",3.91,安控科技,3.86,2.92,3.99,3.92,9.59亿,26.08亿,4.30,132.92,8.50万手,0.02,1.58
0.77%,5.08亿,2.37%,2.41万手,1.52万手,3.28,3647.97万,74.22亿,45.71%,"
                        8.36",9.29,绿盟科技,9.21,2.82,9.43,9.31,8.04亿,46.92亿,10.22,--,3.93万手,-0.07,1.20
2.01%,2.61亿,4.09%,2.89万手,2.35万手,1.94,4681.14万,48.32亿,-37.17%,"
                        7.93",8.81,汇金股份,8.78,4.54,9.14,8.98,5.50亿,22.89亿,9.69,--,5.24万手,-0.03,0.27
1.39%,5.49亿,2.13%,4.46万手,3.18万手,3.92,1.15亿,127.41亿,4.39%,"
                        13.54",15.04,东方网力,14.87,3.80,15.19,15.15,8.55亿,81.79亿,16.54,58.12,7.64万手,0.19,1.19
1.03%,2.59亿,3.94%,1.41万手,1.27万手,5.44,3195.87万,63.65亿,13.78%,"
                        10.75",11.94,创意信息,11.81,2.22,12.28,11.89,5.26亿,31.35亿,13.13,61.44,2.67万手,0.15,1.01
1.43%,1.03亿,2.18%,9498手,5266手,7.18,4505.04万,59.89亿,61.36%,"
                        27.72",30.80,恒华科技,30.29,4.23,30.96,30.95,1.97亿,31.34亿,33.88,62.77,1.48万手,0.36,1.17
6.54%,4.51亿,4.66%,14.77万手,14.74万手,3.66,2.89亿,68.96亿,-39.45%,"
                        8.31",9.23,中文在线,9.61,2.65,10.04,10.00,7.12亿,43.72亿,10.15,139.11,29.52万手,0.05,13.80
0.62%,3.08亿,1.35%,9173手,9970手,3.16,2571.14万,57.12亿,-3.67%,"
                        12.04",13.38,博腾股份,13.36,4.25,13.54,13.38,4.25亿,41.40亿,14.72,60.35,1.91万手,0.17,0.99
6.85%,1.91亿,7.04%,8.42万手,4.64万手,4.20,1.84亿,62.10亿,100.00%,"
                        11.63",12.92,天翔环境,13.30,3.38,14.21,13.50,4.37亿,27.07亿,14.21,55.39,13.06万手,0.19,1.13
--,--,--,--,--,--,--,--,--,"
                        --",--,奥赛康,--,--,--,--,--,--,--,--,--,--,--
1.66%,2.70亿,2.09%,2.97万手,1.50万手,3.78,4860.42万,44.36亿,48.75%,"
                        9.93",11.03,炬华科技,10.82,2.86,11.05,10.95,4.10亿,29.22亿,12.13,27.74,4.47万手,0.33,2.47
1.36%,3.92亿,1.83%,3.17万手,2.16万手,3.16,5240.91万,62.24亿,11.61%,"
                        8.86",9.84,全通教育,9.78,3.11,9.96,9.86,6.34亿,38.48亿,10.82,--,5.32万手,0.00,0.67
0.57%,1.49亿,2.31%,6021手,2504手,3.97,1025.68万,57.67亿,-10.89%,"
                        10.93",12.14,楚天科技,11.97,3.02,12.25,12.21,4.80亿,17.88亿,13.35,41.02,8525手,0.24,0.42
0.72%,1.41亿,1.27%,6294手,3809手,4.73,4950.54万,79.30亿,90.67%,"
                        44.51",49.45,我武生物,48.77,10.38,49.40,49.40,1.62亿,69.16亿,54.40,40.05,1.01万手,0.92,0.92
--,3.08亿,--,--,--,3.42,--,29.00亿,--,"
                        6.29",6.99,光一科技,--,2.04,--,--,4.15亿,21.56亿,7.69,169.22,--,0.03,--
4.43%,11.58亿,2.34%,26.15万手,25.14万手,2.17,6.81亿,211.28亿,37.60%,"
                        11.94",13.27,蒙草生态,13.15,6.08,13.46,13.20,16.04亿,152.57亿,14.60,22.07,51.29万手,0.45,0.93
1.49%,7256.38万,1.25%,6162手,4645手,2.50,1386.59万,17.79亿,-57.97%,"
                        11.51",12.79,东华测试,12.74,5.15,12.90,12.78,1.38亿,9.33亿,14.07,969.68,1.08万手,0.01,0.61
0.69%,3.28亿,2.00%,1.34万手,9337手,4.19,3087.53万,69.79亿,43.82%,"
                        12.18",13.53,东土科技,13.45,3.22,13.72,13.47,5.17亿,44.25亿,14.88,69.64,2.27万手,0.15,0.12
0.89%,10.44亿,1.46%,5.96万手,3.35万手,1.48,3801.67万,59.15亿,-19.18%,"
                        3.69",4.10,北信源,4.06,2.76,4.12,4.09,14.50亿,42.59亿,4.51,176.48,9.31万手,0.02,0.64
1.20%,2.38亿,2.10%,1.76万手,1.09万手,7.18,4165.89万,56.15亿,19.85%,"
                        13.26",14.73,永贵电器,14.51,2.03,14.82,14.62,3.85亿,34.72亿,16.20,34.53,2.85万手,0.32,0.84
1.08%,2.35亿,1.76%,1.13万手,1.40万手,3.61,2470.87万,51.31亿,-11.10%,"
                        8.69",9.66,华鹏飞,9.65,2.68,9.82,9.66,5.31亿,22.74亿,10.63,43.00,2.54万手,0.17,0.76
1.56%,1.86亿,2.05%,1.58万手,1.33万手,11.96,1.19亿,97.17亿,59.24%,"
                        37.32",41.47,金卡智能,40.55,3.42,41.40,41.01,2.38亿,75.89亿,45.62,41.37,2.91万手,0.74,1.41
0.85%,1.82亿,2.44%,8685手,6869手,3.30,2371.67万,45.37亿,-21.30%,"
                        13.63",15.15,长亮科技,15.10,4.60,15.47,15.15,2.99亿,27.63亿,16.66,127.63,1.56万手,0.09,0.27
0.68%,3.04亿,2.74%,9414手,1.12万手,4.75,7358.11万,177.56亿,-2.52%,"
                        31.81",35.35,泰格医药,35.05,7.47,36.02,35.20,5.00亿,107.76亿,38.89,66.47,2.06万手,0.40,0.86
1.42%,1.22亿,3.52%,8198手,9069手,7.52,4657.77万,43.06亿,-70.49%,"
                        24.01",26.68,南大光电,26.50,3.56,27.44,26.65,1.61亿,32.65亿,29.35,109.61,1.73万手,0.18,0.46
1.69%,3.27亿,2.08%,3.10万手,2.42万手,1.78,3727.68万,29.66亿,43.72%,"
                        6.07",6.74,红宇新材,6.69,3.77,6.83,6.69,4.41亿,21.96亿,7.41,7532.83,5.51万手,0.00,1.14
7.28%,1.93亿,4.04%,7.80万手,6.28万手,1.90,1.63亿,38.87亿,28.99%,"
                        10.47",11.63,太空板业,11.41,6.05,11.88,11.62,3.38亿,22.25亿,12.79,--,14.08万手,-0.02,4.79
0.51%,3.78亿,1.32%,8472手,1.09万手,7.11,2502.37万,76.10亿,-4.42%,"
                        11.60",12.89,联创互联,12.81,1.81,12.98,12.89,5.90亿,48.71亿,14.18,24.95,1.94万手,0.39,0.26
0.34%,3.96亿,2.03%,7567手,5742手,3.01,2150.50万,70.37亿,-35.43%,"
                        14.60",16.22,天银机电,16.00,5.42,16.33,16.30,4.32亿,64.54亿,17.84,37.84,1.33万手,0.32,0.53
0.30%,3.71亿,1.17%,6435手,4868手,2.06,775.94万,35.00亿,-25.48%,"
                        6.16",6.84,麦迪电气,6.82,3.34,6.90,6.83,5.10亿,25.44亿,7.52,30.13,1.13万手,0.17,0.28
2.70%,8502.77万,2.32%,1.46万手,8339手,12.31,1.31亿,66.01亿,6.59%,"
                        51.66",57.40,科恒股份,56.01,4.55,57.34,57.34,1.18亿,47.62亿,63.14,36.56,2.30万手,1.15,0.30
1.41%,5.00亿,4.29%,3.77万手,3.26万手,5.00,7632.21万,76.55亿,36.84%,"
                        9.43",10.48,润和软件,10.66,2.14,11.11,10.73,7.15亿,53.46亿,11.53,45.97,7.03万手,0.17,2.00
0.35%,1.69亿,2.31%,1516手,4344手,6.06,1239.58万,71.90亿,-58.62%,"
                        18.73",20.81,开元股份,20.81,3.49,21.29,20.92,3.40亿,35.79亿,22.89,49.39,5861手,0.32,0.12
0.23%,7.01亿,1.46%,9606手,6717手,1.87,1331.46万,67.23亿,-28.22%,"
                        7.42",8.24,银邦股份,8.12,4.37,8.24,8.20,8.22亿,57.31亿,9.06,842.38,1.63万手,0.01,0.14
0.82%,4.53亿,1.22%,1.77万手,1.94万手,5.49,4278.08万,62.03亿,-26.83%,"
                        10.35",11.50,新文化,11.48,2.10,11.62,11.50,5.38亿,52.31亿,12.65,22.96,3.71万手,0.38,0.71
1.54%,2.63亿,1.42%,2.44万手,1.60万手,3.33,7103.83万,63.40亿,37.74%,"
                        15.85",17.61,迪森股份,17.48,5.27,17.73,17.55,3.62亿,46.07亿,19.37,29.11,4.04万手,0.45,1.22
2.75%,2.75亿,1.97%,4.18万手,3.38万手,4.79,1.15亿,41.93亿,63.50%,"
                        13.70",15.22,津膜科技,15.07,3.17,15.37,15.22,2.76亿,41.73亿,16.74,3651.94,7.56万手,0.00,1.10
1.59%,3.31亿,1.78%,2.95万手,2.33万手,2.56,4688.52万,29.84亿,61.89%,"
                        8.10",9.00,兆日科技,8.80,3.46,8.96,8.91,3.36亿,29.38亿,9.90,87.43,5.28万手,0.08,0.71
1.65%,6.33亿,2.64%,6.19万手,4.22万手,3.74,7086.95万,60.63亿,-17.15%,"
                        6.14",6.82,天壕环境,6.71,1.83,6.89,6.82,8.89亿,43.16亿,7.50,100.66,10.42万手,0.05,1.51
1.36%,1.31亿,1.61%,1.06万手,7207手,6.08,3098.96万,39.26亿,-36.38%,"
                        15.64",17.38,苏大维格,17.28,2.86,17.56,17.32,2.26亿,22.71亿,19.12,48.28,1.78万手,0.27,0.11
0.56%,1.68亿,2.12%,5190手,4144手,2.25,1013.51万,18.23亿,-21.35%,"
                        9.78",10.87,华虹计通,10.75,4.83,10.98,10.95,1.68亿,18.18亿,11.96,--,9334手,-0.03,0.28
0.59%,2.51亿,1.47%,5882手,8827手,3.28,1308.73万,22.44亿,-55.51%,"
                        7.98",8.87,海伦钢琴,8.82,2.72,8.95,8.84,2.51亿,22.40亿,9.76,54.35,1.47万手,0.12,0.27
0.51%,4.10亿,1.62%,1.08万手,1.01万手,1.83,2063.80万,40.24亿,33.03%,"
                        8.91",9.90,宜安科技,9.80,5.35,9.96,9.96,4.10亿,40.24亿,10.89,119.47,2.09万手,0.06,0.27
2.17%,2.08亿,1.73%,2.93万手,1.58万手,3.55,1.44亿,66.90亿,27.62%,"
                        29.13",32.37,中颖电子,31.81,8.98,32.37,32.18,2.10亿,66.12亿,35.61,52.83,4.51万手,0.45,0.93
1.17%,6.40亿,3.46%,3.69万手,3.79万手,2.78,6530.51万,62.70亿,28.13%,"
                        7.81",8.68,凯利泰,8.58,3.16,8.88,8.62,7.15亿,56.16亿,9.55,31.04,7.48万手,0.21,1.30
0.37%,7.95亿,1.12%,1.81万手,1.11万手,1.48,1811.94万,62.86亿,48.44%,"
                        5.62",6.24,德威新材,6.18,4.20,6.25,6.23,10.11亿,49.44亿,6.86,133.47,2.92万手,0.03,0.16
1.12%,6.78亿,2.89%,4.99万手,2.63万手,4.30,1.09亿,167.39亿,-9.28%,"
                        13.07",14.52,旋极信息,14.18,3.32,14.60,14.49,11.72亿,96.75亿,15.97,44.04,7.61万手,0.24,1.12
1.59%,6.90亿,3.75%,6.85万手,4.11万手,4.50,1.80亿,136.96亿,-1.32%,"
                        15.10",16.78,华灿光电,16.17,3.61,16.80,16.71,8.42亿,112.16亿,18.46,27.64,10.96万手,0.44,0.56
1.45%,3.70亿,1.69%,3.07万手,2.31万手,1.49,6328.73万,47.87亿,27.96%,"
                        10.67",11.86,硕贝德,11.67,7.91,11.87,11.86,4.07亿,43.55亿,13.05,125.51,5.39万手,0.07,0.80
2.47%,8274.23万,3.70%,4513手,1.59万手,6.57,4928.45万,21.79亿,-84.73%,"
                        21.43",23.81,同大股份,23.70,3.74,24.58,23.81,8880.00万,20.30亿,26.19,109.33,2.04万手,0.17,2.02
1.84%,4.27亿,2.58%,4.28万手,3.55万手,1.65,1.05亿,71.55亿,-49.75%,"
                        12.19",13.54,海达股份,13.25,8.23,13.60,13.59,5.28亿,57.80亿,14.89,53.48,7.83万手,0.19,3.38
0.46%,4.66亿,0.91%,1.21万手,9549手,3.23,1429.85万,46.56亿,-50.03%,"
                        5.95",6.61,麦捷科技,6.57,2.05,6.63,6.61,7.04亿,30.79亿,7.27,47.55,2.16万手,0.10,0.55
0.24%,5.70亿,1.25%,7515手,6326手,1.76,770.07万,45.92亿,15.06%,"
                        5.02",5.58,博晖创新,5.53,3.17,5.60,5.57,8.21亿,31.85亿,6.14,160.51,1.38万手,0.03,0.27
1.62%,3.24亿,1.65%,3.13万手,2.13万手,5.68,8311.87万,134.39亿,48.82%,"
                        14.21",15.79,珈伟股份,15.73,2.77,15.99,15.76,8.54亿,50.95亿,17.37,37.06,5.26万手,0.32,1.52
4.00%,9.21亿,7.45%,20.61万手,16.21万手,3.49,7.50亿,197.38亿,76.72%,"
                        19.21",21.34,晶盛机电,19.72,5.75,21.31,21.25,9.85亿,184.55亿,23.47,58.49,36.82万手,0.26,2.06
0.90%,26.43亿,1.58%,11.99万手,11.84万手,3.15,1.36亿,158.03亿,-22.58%,"
                        5.14",5.71,掌趣科技,5.67,1.82,5.76,5.69,27.58亿,151.42亿,6.28,30.06,23.83万手,0.14,0.48
1.03%,1.89亿,2.12%,6840手,1.27万手,2.71,2684.27万,40.00亿,59.62%,"
                        12.30",13.67,戴维医疗,13.60,5.12,13.89,13.66,2.88亿,26.27亿,15.04,59.73,1.95万手,0.17,0.66
1.24%,1.82亿,2.51%,1.31万手,9573手,1.84,2779.27万,24.12亿,-1.17%,"
                        11.12",12.36,天山生物,12.16,6.65,12.47,12.35,1.97亿,22.29亿,13.60,482.33,2.27万手,0.02,1.07
2.39%,1.84亿,1.75%,2.33万手,2.07万手,2.41,6013.84万,43.59亿,69.24%,"
                        12.35",13.72,邦讯技术,13.56,5.65,13.80,13.56,3.20亿,25.02亿,15.09,--,4.40万手,-0.12,1.40
1.42%,2.29亿,1.56%,1.84万手,1.40万手,2.56,4574.89万,63.02亿,-31.49%,"
                        12.72",14.13,任子行,13.99,5.49,14.21,14.20,4.48亿,32.18亿,15.54,55.49,3.24万手,0.19,0.69
1.36%,5.82亿,2.43%,4.76万手,3.14万手,3.96,9322.86万,104.51亿,-53.09%,"
                        10.75",11.94,宜通世纪,11.69,2.95,11.98,11.90,8.94亿,68.01亿,13.13,48.83,7.90万手,0.18,0.64
0.63%,4.34亿,1.69%,7499手,1.97万手,3.11,6110.32万,108.42亿,-40.40%,"
                        20.20",22.44,吉艾科技,22.30,7.21,22.68,22.67,4.84亿,97.15亿,24.68,78.31,2.72万手,0.21,0.37
0.33%,7.93亿,0.85%,1.67万手,9713手,5.02,2179.32万,66.00亿,21.00%,"
                        7.43",8.26,慈星股份,8.22,1.64,8.29,8.26,8.02亿,65.28亿,9.09,24.30,2.64万手,0.25,0.47
0.60%,1.36亿,0.98%,4980手,3143手,6.74,1329.89万,47.09亿,-24.94%,"
                        14.71",16.34,远方信息,16.30,2.43,16.46,16.33,2.87亿,22.20亿,17.97,34.26,8124手,0.36,0.35
1.09%,1.63亿,1.29%,9240手,8514手,4.94,1381.12万,22.52亿,-50.99%,"
                        6.98",7.75,裕兴股份,7.72,1.57,7.82,7.75,2.90亿,12.70亿,8.53,32.46,1.78万手,0.18,0.69
0.87%,8.39亿,1.22%,4.79万手,2.48万手,1.96,5328.73万,63.85亿,39.42%,"
                        6.62",7.35,云意电气,7.30,3.74,7.39,7.37,8.72亿,61.39亿,8.09,47.54,7.27万手,0.12,3.96
0.61%,10.21亿,1.07%,3.57万手,2.64万手,1.50,2315.26万,46.75亿,-12.33%,"
                        3.36",3.73,聚飞光电,3.71,2.50,3.75,3.74,12.50亿,38.18亿,4.10,28.66,6.21万手,0.10,0.26
1.13%,2.47亿,2.50%,1.72万手,1.07万手,1.71,3332.77万,49.92亿,29.50%,"
                        10.81",12.01,同有科技,11.83,6.95,12.13,12.05,4.21亿,29.24亿,13.21,210.88,2.79万手,0.04,0.64
1.16%,5.11亿,2.45%,2.25万手,3.68万手,2.73,3583.02万,48.28亿,-83.97%,"
                        5.51",6.12,长方集团,5.97,2.24,6.12,6.09,7.90亿,31.23亿,6.73,122.08,5.93万手,0.04,0.87
0.28%,2.73亿,1.74%,4110手,3446手,4.83,1251.45万,76.31亿,-18.48%,"
                        15.04",16.71,汉鼎宇佑,16.42,3.44,16.71,16.71,4.59亿,45.32亿,18.38,130.11,7556手,0.10,0.08
1.47%,3.02亿,3.16%,2.61万手,1.83万手,2.57,3927.92万,49.99亿,-5.40%,"
                        7.97",8.86,富春股份,8.71,3.42,8.99,8.87,5.70亿,26.52亿,9.75,47.50,4.44万手,0.14,0.30
1.42%,3.01亿,5.32%,1.98万手,2.29万手,3.27,9055.14万,85.54亿,-40.84%,"
                        18.61",20.68,三诺生物,20.40,6.41,21.50,20.68,4.07亿,63.16亿,22.75,30.57,4.27万手,0.52,1.28
0.55%,7.38亿,1.99%,2.19万手,1.89万手,3.21,3881.06万,112.13亿,-40.56%,"
                        8.59",9.54,蓝盾股份,9.43,2.98,9.62,9.54,11.75亿,70.45亿,10.49,39.39,4.08万手,0.18,0.72
1.01%,9.75亿,2.60%,4.62万手,5.20万手,3.07,2.08亿,344.03亿,37.70%,"
                        19.04",21.15,利亚德,20.90,6.88,21.45,21.19,16.29亿,206.01亿,23.27,40.73,9.82万手,0.39,2.39
2.38%,1.77亿,2.67%,2.07万手,2.14万手,5.63,8157.52万,37.44亿,-28.82%,"
                        17.22",19.13,三六五网,19.05,3.45,19.56,19.13,1.93亿,34.28亿,21.04,35.58,4.21万手,0.41,1.15
0.21%,3.26亿,1.63%,4313手,2426手,5.71,2095.60万,125.06亿,-30.50%,"
                        28.13",31.25,博雅生物,30.93,5.46,31.44,31.28,4.01亿,101.70亿,34.38,41.95,6740手,0.56,0.39
0.29%,2.68亿,1.94%,4384手,3353手,2.56,874.17万,30.43亿,8.71%,"
                        10.22",11.36,蓝英装备,11.18,4.40,11.40,11.40,2.70亿,30.15亿,12.50,107.80,7738手,0.08,0.39
--,9.10亿,--,--,--,2.08,--,72.28亿,--,"
                        5.10",5.67,吴通控股,--,2.72,--,--,12.75亿,51.59亿,6.24,33.34,--,0.13,--
--,5.97亿,--,--,--,7.88,--,92.21亿,--,"
                        10.22",11.35,华录百纳,--,1.44,--,--,8.12亿,67.71亿,12.49,58.99,--,0.14,--
--,1.30亿,--,--,--,2.19,--,27.90亿,--,"
                        7.81",8.68,荣科科技,--,3.97,--,--,3.21亿,11.28亿,9.55,179.89,--,0.04,--
0.46%,3.21亿,1.07%,7825手,7097手,3.07,1396.62万,39.80亿,12.77%,"
                        8.43",9.37,利德曼,9.31,3.06,9.41,9.41,4.24亿,30.17亿,10.31,53.03,1.49万手,0.13,0.66
1.33%,1.68亿,1.27%,1.23万手,1.01万手,4.00,5476.66万,82.49亿,26.90%,"
                        21.99",24.43,朗玛信息,24.29,6.10,24.60,24.36,3.38亿,41.03亿,26.87,19.94,2.24万手,0.92,0.94
2.22%,10.41亿,3.08%,10.89万手,12.26万手,3.99,1.76亿,108.51亿,6.16%,"
                        6.72",7.47,飞利信,7.46,1.89,7.69,7.46,14.35亿,78.69亿,8.22,24.99,23.15万手,0.23,0.36
1.16%,1.03亿,3.43%,5795手,6165手,4.50,2188.36万,26.43亿,-12.06%,"
                        16.29",18.10,安科瑞,18.01,4.06,18.63,18.07,1.45亿,18.79亿,19.91,25.45,1.20万手,0.54,1.00
0.82%,4.11亿,1.97%,1.87万手,1.47万手,3.06,6633.68万,118.94亿,-63.20%,"
                        17.82",19.80,国瓷材料,19.61,6.49,20.00,19.70,5.98亿,81.65亿,21.78,51.47,3.35万手,0.29,4.37
0.73%,3.51亿,2.22%,1.38万手,1.17万手,6.16,4256.87万,96.39亿,-61.65%,"
                        15.00",16.67,苏交科,16.51,2.71,16.88,16.66,5.78亿,58.46亿,18.34,23.73,2.56万手,0.53,0.57
0.66%,2.08亿,1.22%,6656手,7075手,1.36,791.03万,23.83亿,7.36%,"
                        5.17",5.74,温州宏丰,5.72,4.23,5.79,5.75,4.14亿,11.95亿,6.31,475.66,1.37万手,0.01,0.38
0.63%,2.11亿,1.84%,8166手,5221手,9.71,2519.34万,46.59亿,-0.59%,"
                        17.10",19.00,汇冠股份,18.66,1.92,19.01,19.00,2.50亿,39.44亿,20.90,42.87,1.34万手,0.33,0.44
0.65%,1.47亿,2.75%,5040手,4486手,4.27,1245.71万,36.61亿,-5.42%,"
                        11.80",13.11,金明精机,12.93,3.07,13.29,13.12,2.79亿,19.30亿,14.42,83.63,9527手,0.12,0.25
--,1.28亿,--,--,--,5.01,--,45.82亿,--,"
                        32.22",35.80,南通锻压,--,7.15,--,--,1.28亿,45.82亿,39.38,387.33,--,0.07,--
0.75%,2.91亿,1.87%,9672手,1.21万手,3.76,2888.32万,59.31亿,-32.59%,"
                        12.03",13.37,和晶科技,13.15,3.51,13.40,13.40,4.49亿,38.48亿,14.71,50.84,2.17万手,0.19,1.73
--,2.27亿,--,--,--,2.98,--,93.31亿,--,"
                        15.41",17.12,华昌达,--,5.75,--,--,5.45亿,38.82亿,18.83,110.09,--,0.12,--
2.13%,3.34亿,3.69%,2.85万手,4.26万手,1.39,6073.06万,28.81亿,-10.79%,"
                        7.56",8.40,海联讯,8.36,6.18,8.67,8.45,3.35亿,28.76亿,9.24,--,7.11万手,-0.01,1.91
0.40%,2.00亿,1.79%,4941手,3081手,1.63,940.89万,55.85亿,25.41%,"
                        10.58",11.76,三丰智能,11.65,7.20,11.86,11.80,4.77亿,23.40亿,12.94,513.76,8023手,0.02,0.27
6.97%,1.20亿,4.80%,4.11万手,4.23万手,3.30,1.20亿,23.31亿,1.15%,"
                        12.55",13.95,梅安森,14.01,4.29,14.68,14.06,1.64亿,17.00亿,15.35,56.77,8.35万手,0.19,3.47
1.38%,5.60亿,2.25%,4.82万手,2.92万手,3.03,7201.43万,72.95亿,-7.76%,"
                        8.40",9.33,和佳股份,9.23,3.05,9.44,9.29,7.88亿,51.90亿,10.26,73.93,7.74万手,0.09,0.67
0.87%,1.36亿,1.38%,6719手,5061手,4.67,2556.59万,32.26亿,34.12%,"
                        19.56",21.73,光韵达,21.55,4.66,21.85,21.73,1.48亿,29.55亿,23.90,49.01,1.18万手,0.33,0.11
1.80%,4.03亿,4.43%,2.75万手,4.51万手,4.27,1.18亿,82.43亿,-31.18%,"
                        14.41",16.01,银禧科技,16.09,3.81,16.80,16.09,5.06亿,65.71亿,17.61,40.38,7.26万手,0.30,0.46
0.32%,2.16亿,1.87%,3946手,2991手,4.54,625.45万,19.49亿,-72.16%,"
                        8.19",9.10,安利股份,8.96,1.98,9.13,9.07,2.17亿,19.42亿,10.01,--,6938手,-0.01,0.05
--,2.61亿,--,--,--,3.36,--,57.65亿,--,"
                        14.36",15.95,千山药机,--,4.75,--,--,3.61亿,41.63亿,17.55,97.47,--,0.12,--
1.53%,5.97亿,2.48%,5.45万手,3.70万手,2.57,8710.01万,72.19亿,16.75%,"
                        8.71",9.68,电科院,9.41,3.71,9.65,9.55,7.58亿,56.84亿,10.65,60.65,9.15万手,0.12,0.46
0.43%,1.86亿,1.68%,4116手,3798手,1.66,566.50万,21.70亿,-35.48%,"
                        6.44",7.16,亿通科技,7.13,4.33,7.25,7.18,3.03亿,13.31亿,7.88,427.10,7914手,0.01,0.23
0.93%,3.52亿,3.48%,2.21万手,1.08万手,2.66,2054.00万,30.36亿,71.22%,"
                        5.69",6.32,森远股份,6.18,2.35,6.40,6.35,4.84亿,22.08亿,6.95,43.47,3.29万手,0.11,0.32
1.00%,2.44亿,1.33%,1.30万手,1.15万手,6.98,4585.72万,54.69亿,4.77%,"
                        16.87",18.74,天泽信息,18.63,2.68,18.88,18.71,2.92亿,45.60亿,20.61,56.39,2.45万手,0.25,0.53
0.64%,6.16亿,3.15%,2.52万手,1.44万手,2.47,4881.80万,92.98亿,25.10%,"
                        11.16",12.40,恒顺众昇,12.12,4.91,12.51,12.38,7.67亿,74.75亿,13.64,22.27,3.96万手,0.41,0.16
0.55%,11.68亿,2.66%,3.25万手,3.13万手,2.04,6695.52万,135.65亿,33.33%,"
                        9.46",10.51,欣旺达,10.35,5.14,10.63,10.52,12.92亿,122.68亿,11.56,33.64,6.38万手,0.23,0.25
0.45%,3.44亿,1.27%,9661手,5671手,2.14,1314.99万,50.13亿,18.19%,"
                        7.79",8.66,理邦仪器,8.55,4.00,8.66,8.66,5.85亿,29.46亿,9.53,55.80,1.53万手,0.12,0.13
0.51%,4.26亿,1.25%,1.38万手,7678手,2.76,2060.25万,41.11亿,-3.40%,"
                        8.63",9.59,天喻信息,9.53,3.46,9.65,9.61,4.30亿,40.68亿,10.55,93.33,2.15万手,0.08,0.28
2.15%,4.52亿,4.33%,5.80万手,3.89万手,6.68,3.57亿,163.36亿,-85.65%,"
                        34.07",37.86,聚光科技,36.10,5.41,37.74,37.65,4.53亿,163.05亿,41.65,38.05,9.69万手,0.71,1.09
0.40%,5.85亿,0.68%,8025手,1.52万手,3.45,1368.20万,70.07亿,9.17%,"
                        5.27",5.86,福安药业,5.85,1.71,5.89,5.86,11.90亿,34.48亿,6.45,22.15,2.33万手,0.20,0.90
0.50%,3.66亿,0.93%,1.13万手,6894手,4.42,1365.90万,38.15亿,-23.71%,"
                        6.77",7.52,佳士科技,7.50,1.70,7.57,7.57,5.07亿,27.50亿,8.27,26.61,1.82万手,0.21,0.17
3.02%,2.07亿,4.62%,3.32万手,2.92万手,3.60,1.57亿,79.26亿,0.61%,"
                        22.98",25.53,潜能恒信,24.70,6.88,25.88,25.30,3.20亿,51.28亿,28.08,--,6.24万手,-0.06,0.60
0.58%,3.96亿,0.83%,1.38万手,9087手,7.91,2763.00万,54.68亿,29.41%,"
                        10.88",12.09,维尔利,12.04,1.53,12.14,12.11,4.52亿,47.91亿,13.30,36.65,2.29万手,0.25,0.39
0.68%,8.82亿,2.58%,2.41万手,3.57万手,1.38,2121.51万,36.35亿,1.79%,"
                        3.14",3.49,神农基因,3.49,2.56,3.58,3.51,10.24亿,31.30亿,3.84,--,5.98万手,-0.01,0.39
